nom;activite;adresse;telephone;note;cibleSansSiteWeb;websiteUrl;mapsLink;photoUrl;metierSource;fichierSource;categorieMaps
Côte D'Opale Toitures et Rénovations;Couvreur;;+33 3 21 19 39 91;4,0;non;http://www.cotedopaletoitures.fr/;https://www.google.com/maps/place/C%C3%B4te+D%27Opale+Toitures+et+R%C3%A9novations/data=!4m7!3m6!1s0x47dc3f7d43b646a1:0x2cc7ab3e81d8a49e!8m2!3d50.9462786!4d1.8742405!16s%2Fg%2F1tk1y9t_!19sChIJoUa2Q30_3EcRnqTYgT6rxyw?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Couvreur;Couvreur.csv;Couvreur
D E A I - Dunkerque Electricité Automatisme Industriel;electricien;;+33 3 28 25 02 20;5,0;non;http://www.deai-nord.fr/;https://www.google.com/maps/place/D+E+A+I+-+Dunkerque+Electricit%C3%A9+Automatisme+Industriel/data=!4m7!3m6!1s0x47dc8b9c06d5e423:0x7733de4bdf84e09f!8m2!3d51.0367935!4d2.3466669!16s%2Fg%2F11b6dgdgwn!19sChIJI-TVBpyL3EcRn-CE30veM3c?authuser=0&hl=fr&rclk=1;;electricien;electricien.csv;Ingénieur électricien
D.P. ELEC;electricien;;+33 3 20 55 42 42;5,0;non;http://electricite-generale-lille.pro/;https://www.google.com/maps/place/D.P.+ELEC/data=!4m7!3m6!1s0x47dc8c354205deeb:0x31c0c4598e4e95d2!8m2!3d51.0515861!4d2.411975!16s%2Fg%2F11g0hnxflt!19sChIJ694FQjWM3EcR0pVOjlnEwDE?authuser=0&hl=fr&rclk=1;;electricien;electricien.csv;Service d'installation électrique
DACIA Dunkerque - Groupe Autosphere;Garage;;+33 3 28 62 73 00;4,8;non;https://www.dacia-dunkerque.fr/?utm_source=google_my_business&utm_medium=fiche_google&utm_campaign=dacia_dunkerque;https://www.google.com/maps/place/DACIA+Dunkerque+-+Groupe+Autosphere/data=!4m7!3m6!1s0x47dc8b7d6567819f:0x80cdf32ef71f43fb!8m2!3d51.02094!4d2.360498!16s%2Fg%2F11c5_sx5yf!19sChIJn4FnZX2L3EcR-0Mf9y7zzYA?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Garage;Garage.csv;Garage automobile
Dades Coiffures;Coiffeur;;;4,5;oui;;https://www.google.com/maps/place/Dades+Coiffures/data=!4m7!3m6!1s0x47dc8b77a4063fa7:0x45599dcc22fcde89!8m2!3d51.0281422!4d2.3485349!16s%2Fg%2F119wp7rn6!19sChIJpz8GpHeL3EcRid78IsydWUU?authuser=0&hl=fr&rclk=1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X2z8mcS2VUynbmK6kyqReA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=60.04652&pitch=0&thumbfov=100;Coiffeur;Coiffeur.csv;Salon de coiffure
Dams Electricité;electricien;;+33 6 05 03 36 73;4,0;oui;;https://www.google.com/maps/place/Dams+Electricit%C3%A9/data=!4m7!3m6!1s0x47dc8b1629bda989:0xf4646c3031d59fd5!8m2!3d51.0185756!4d2.3526383!16s%2Fg%2F11h3ft0j8l!19sChIJiam9KRaL3EcR1Z_VMTBsZPQ?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;electricien;electricien.csv;Électricien
Daniel Moquet signe vos allées - Ent. Broutin;Paysagiste;;+33 3 28 20 12 06;4,9;non;https://www.daniel-moquet.com/;https://www.google.com/maps/place/Daniel+Moquet+signe+vos+all%C3%A9es+-+Ent.+Broutin/data=!4m7!3m6!1s0x47dc5faf66ec27b5:0x291402452eb04d60!8m2!3d50.9469218!4d2.1873094!16s%2Fg%2F11fnw05259!19sChIJtSfsZq9f3EcRYE2wLkUCFCk?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Paysagiste;Paysagiste.csv;Paysagiste
Dark industry;tatoueur;;;4,3;oui;;https://www.google.com/maps/place/Dark+industry/data=!4m7!3m6!1s0x47dc8dd204e3ed13:0xb0c2954b43e14095!8m2!3d51.0336716!4d2.3776697!16s%2Fg%2F11rr1srn3c!19sChIJE-3jBNKN3EcRlUDhQ0uVwrA?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweqjw56FxLmCi3kELd2NlGGtaPo0BZfbbPCWkCrBNL5hlw-xyQofIC-l9J9nLRJ6Zbw0Oxhdwa3ynOq553DtC92_5nn2spGDEPJ1P7E5Wt1ap1FqQ8XswwCCjC9yUcGHloq-3VXfOw=w80-h100-k-no;tatoueur;tatoueur.csv;Salon de tatouage et piercing
David Carrelage et Bain;Carreleur;;+33 6 09 97 66 41;5,0;non;https://www.davidcarrelageetbain.fr/;https://www.google.com/maps/place/David+Carrelage+et+Bain/data=!4m7!3m6!1s0x47dcf3089aef3a01:0x3fe08c69dafd05d!8m2!3d50.1711658!4d3.6456634!16s%2Fg%2F11fhnj180d!19sChIJATrvmgjz3EcRXdCvncYI_gM?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Carreleur;Carreleur.csv;Entreprise de construction
De Farine et d'Eau Fraiche;Boulangerie;;;4,8;oui;;https://www.google.com/maps/place/De+Farine+et+d%27Eau+Fraiche/data=!4m7!3m6!1s0x47dc5dfeea575cd7:0x4b3d2eea492c8181!8m2!3d50.9880807!4d2.1289411!16s%2Fg%2F11grptt175!19sChIJ11xX6v5d3EcRgYEsSeouPUs?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwers1KcsagfgvN7Fs3CSyf26Lz2vH1lhPgkP30aTkpqDf0d2AwjRLjYIwwLtrR-iyzh1SBM_FwiZCuHmO2fcyU5iZXSVyXkACTGLq1vu0HzfWrvu0vKqDCihHq7JNNygkurbozg0Yg=w122-h92-k-no;Boulangerie;Boulangerie.csv;Boulangerie
De Lylle Isabelle;avocat;;+33 3 28 59 05 90;4,4;oui;;https://www.google.com/maps/place/De+Lylle+Isabelle/data=!4m7!3m6!1s0x47dc8c62589e41d3:0x3a74f520cd77e7ac!8m2!3d51.0317466!4d2.377772!16s%2Fg%2F1wcxcc40!19sChIJ00GeWGKM3EcRrOd3zSD1dDo?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;avocat;avocat.csv;Avocat
Debody Sculpt Praticienne Minceur;massage;;;5,0;oui;;https://www.google.com/maps/place/Debody+Sculpt+Praticienne+Minceur/data=!4m7!3m6!1s0x47dc933b7f89de87:0xf214175ca4cda424!8m2!3d51.0171073!4d2.4783153!16s%2Fg%2F11rjyr8t69!19sChIJh96JfzuT3EcRJKTNpFwXFPI?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepP0ZA06y1vP35kZh1rYHUBGkOoXh-8Wi_OfAuT3Bg6mAcrKXgLpJhMdPbTKCz-oa04XVVDkG1quaVhgSGRvrMBQRO13IusCXZK00frNUfQNeZYZFGy9UHx0hDma3dpipMYBFH_5-NMvIk=w122-h92-k-no;massage;massage.csv;Centre d'amincissement
Debroucker Électricité;electricien;;+33 7 63 95 99 42;4,9;non;https://www.debroucker-electricite.fr/;https://www.google.com/maps/place/Debroucker+%C3%89lectricit%C3%A9/data=!4m7!3m6!1s0x47dc8d208fd73893:0xf8ef4446a657b1be!8m2!3d50.9989417!4d2.3886865!16s%2Fg%2F11m_mglhzy!19sChIJkzjXjyCN3EcRvrFXpkZE7_g?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;electricien;electricien.csv;Électricien
Debruyne Edgard;Boucherie;;+33 3 28 29 92 37;4,6;oui;;https://www.google.com/maps/place/Debruyne+Edgard/data=!4m7!3m6!1s0x47dc9223d43450b3:0xb6f2d573e287d25a!8m2!3d51.0631704!4d2.4908872!16s%2Fg%2F1tgfvxj0!19sChIJs1A01COS3EcRWtKH4nPV8rY?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTxd1Qdgq_5rnzbTByB-QOcwK2aHwAkPqe-GzSLrvHiVqijIF6tCLEvLlt9oO3nrYXMQzxmKQpur83D-afAZ9JBVT_WxPX1Y_MRhmFAKw2U_P6Vv82v3JUvwtxCa-QJrGCS0nE=w80-h106-k-no;Boucherie;Boucherie.csv;Boucherie
Debruyne Emmanuelle;avocat;;+33 3 28 58 01 01;5,0;oui;;https://www.google.com/maps/place/Debruyne+Emmanuelle/data=!4m7!3m6!1s0x47dc8b74444a683d:0x23d608db6ca54426!8m2!3d51.0270883!4d2.3421142!16s%2Fg%2F11btmqs1h8!19sChIJPWhKRHSL3EcRJkSlbNsI1iM?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;avocat;avocat.csv;Avocat
Decovrac Pitgam;Paysagiste;;+33 3 74 80 01 40;5,0;non;https://www.decovrac.net/decovrac-pitgam/?utm_source=google&utm_medium=GoogleBusinessProfile&utm_campaign=pitgam-acces-site-gmb;https://www.google.com/maps/place/Decovrac+Pitgam/data=!4m7!3m6!1s0x47dcf5bb4757955d:0x84dd5b5879987f34!8m2!3d50.9388618!4d2.3276145!16s%2Fg%2F11smrc6mcl!19sChIJXZVXR7v13EcRNH-YeVhb3YQ?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Paysagiste;Paysagiste.csv;Magasin d'articles pour l'aménagement paysager
Decrock Maison&Jardin;Paysagiste;;;5,0;non;https://decrockmaisonjardin.wixsite.com/decrockmaisonjardin;https://www.google.com/maps/place/Decrock+Maison%26Jardin/data=!4m7!3m6!1s0x47dce5000cab8ee9:0x6f3c29d8086e33b4!8m2!3d50.7133517!4d2.5212939!16s%2Fg%2F11h2qxvgrj!19sChIJ6Y6rDADl3EcRtDNuCNgpPG8?authuser=0&hl=fr&rclk=1;;Paysagiste;Paysagiste.csv;Jardinier
Deep Massage;massage;;;4,9;oui;;https://www.google.com/maps/place/Deep+Massage/data=!4m7!3m6!1s0x47dc8defdc6d0aab:0x1af2f63d5a7e9508!8m2!3d51.0179874!4d2.3723327!16s%2Fg%2F11s4g1xmy6!19sChIJqwpt3O-N3EcRCJV-Wj328ho?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCHlKRULYs8EtRJ1ExZOFUJRrnTDEYVWa4cKyYCBIKsWRgQB9sRhStan4X0_zEEMes1ZCguhexBljvL5C21J1hlr42oTjP5t9-m8ihtE37rJxYdZBS6kjpY-7XJm-wfgiRMdrb=w122-h92-k-no;massage;massage.csv;Institut de massages
Defossez Sophie;Menuisier;;+33 6 20 43 53 13;3,0;oui;;https://www.google.com/maps/place/Defossez+Sophie/data=!4m7!3m6!1s0x47dc8c471da14137:0x8bdd1ac8089283cc!8m2!3d51.0479007!4d2.3966657!16s%2Fg%2F1wfcnf64!19sChIJN0GhHUeM3EcRzIOSCMga3Ys?authuser=0&hl=fr&rclk=1;;Menuisier;Menuisier.csv;Fabricant de meubles
Deheeger;Garage;;;5,0;oui;;https://www.google.com/maps/place/Deheeger/data=!4m7!3m6!1s0x47dc8b7a6c3a5903:0xd32a9a6938440948!8m2!3d51.0236786!4d2.3510002!16s%2Fg%2F11b6dq47nc!19sChIJA1k6bHqL3EcRSAlEOGmaKtM?authuser=0&hl=fr&rclk=1;;Garage;Garage.csv;Atelier de réparation automobile
Delater;Boucherie | Charcuterie | Traiteur;19 Av. des Bains;+33 3 28 66 98 44;4,1;oui;;https://www.google.com/maps/place/Delater/data=!4m7!3m6!1s0x47dc8c68c8a4bcb1:0x64b304df5023073c!8m2!3d51.0418799!4d2.3823175!16s%2Fg%2F1tdbq4fw!19sChIJsbykyGiM3EcRPAcjUN8Es2Q?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweoyeV52fQ1tFNYxRoLK-2CDF4jcd8qdI-pAux-sK9OH-sCGeOjtcnGxnNjcxfn3CDCh1NLCEmuFZYLkgEzbtLwKTWrUW9kEtNuKr-XwUaPQTrXchL-DYbck6DuuhsvHL4uY8evaww=w80-h142-k-no;Boucherie | Charcuterie | Traiteur;Boucherie.csv | Charcuterie.csv | Traiteur.csv;Charcuterie | Traiteur
Delefortrie Paysages - Entretien - Conception;Paysagiste;;+33 3 20 35 55 07;4,8;non;http://www.delefortrie.fr/;https://www.google.com/maps/place/Delefortrie+Paysages+-+Entretien+-+Conception/data=!4m7!3m6!1s0x47dcd7b56014145d:0x639bb25074ca10bb!8m2!3d50.672817!4d2.8358224!16s%2Fg%2F1tffcggx!19sChIJXRQUYLXX3EcRuxDKdFCym2M?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Paysagiste;Paysagiste.csv;Paysagiste
Deleu-Canonne Sabine;avocat;;+33 3 28 63 87 97;5,0;oui;;https://www.google.com/maps/place/Deleu-Canonne+Sabine/data=!4m7!3m6!1s0x47dc8c623f183ac5:0xf3ce196328479cd2!8m2!3d51.0314533!4d2.3795201!16s%2Fg%2F1thlmbtz!19sChIJxToYP2KM3EcR0pxHKGMZzvM?authuser=0&hl=fr&rclk=1;;avocat;avocat.csv;Avocat
Delice Pizza;Pizzeria;;;4,6;oui;;https://www.google.com/maps/place/Delice+Pizza/data=!4m7!3m6!1s0x47dc8db449630c87:0xc1b54aa4f6953670!8m2!3d51.0395803!4d2.3789316!16s%2Fg%2F11sh0ck0xz!19sChIJhwxjSbSN3EcRcDaV9qRKtcE?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFC51wKUCJ2qmAOIhqNaIpRbp0oVIH905qOrh4pIZhRqZBHPisYxlUeNrL8KptC4e6PWXPSOLnGcrBn1eIatWnE5iO6LYgjPea-66lMHsXWC4C0Cq5TXmU-jarnFTSKQxyyuoAsA=w163-h92-k-no;Pizzeria;Pizzeria.csv;Pizza
Delta Couverture;Couvreur | Étancheur;;+33 6 84 68 19 23;5,0;non;https://www.delta-couverture-dk.fr/;https://www.google.com/maps/place/Delta+Couverture/data=!4m7!3m6!1s0x47dc8ddd2477e609:0xbbc016adb067f098!8m2!3d51.054348!4d2.432377!16s%2Fg%2F11wbjc0vvj!19sChIJCeZ3JN2N3EcRmPBnsK0WwLs?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Couvreur | Étancheur;Couvreur.csv | Étancheur.csv;Couvreur
Depan'store Dunkerque dépannage/réparation de volet roulant;Menuisier;;+33 6 32 14 63 37;4,4;non;https://www.dunkerque.depanstore.fr/?utm_source=google&utm_medium=organic&utm_campaign=gbp;https://www.google.com/maps/place/Depan%27store+Dunkerque+d%C3%A9pannage%2Fr%C3%A9paration+de+volet+roulant/data=!4m7!3m6!1s0x26abb3f0375cf073:0xe04fa9541b05fb0a!8m2!3d51.0316892!4d2.3768777!16s%2Fg%2F11y3lxc7wf!19sChIJc_BcN_CzqyYRCvsFG1SpT-A?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Menuisier;Menuisier.csv;Service de réparation
DEPILEO DUNKERQUE;Institutdebeaute;;;4,7;oui;;https://www.google.com/maps/place/DEPILEO+DUNKERQUE/data=!4m7!3m6!1s0x47dc8ddb110ad71b:0x717f65672c41ca51!8m2!3d51.0377812!4d2.3777127!16s%2Fg%2F11x8pgdm__!19sChIJG9cKEduN3EcRUcpBLGdlf3E?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepU7MvUl1x02mBt4utHG01J3fO4pPeIHFyhbYjXrtl_hSHBIGGbSG_Slu4iGY28bzWsqnVbbdpx6TWyPfMTJgu_WMziTFhU0QCTnOLhUnq-7XQEsHXs3erNuHPYFXvEWEFpZsV7eXrus052=w92-h92-k-no;Institutdebeaute;Institutdebeaute.csv;Centre d'épilation laser
DERICHEBOURG Facility;Entreprise de nettoyage;;+33 3 28 68 58 08;3,6;non;http://www.elior-services.fr/;https://www.google.com/maps/place/DERICHEBOURG+Facility/data=!4m7!3m6!1s0x47dcf28d73555047:0x979b42b7b01c2d3b!8m2!3d50.9544072!4d2.4310806!16s%2Fg%2F11b6dhq75g!19sChIJR1BVc43y3EcROy0csLdCm5c?authuser=0&hl=fr&rclk=1;;Entreprise de nettoyage;Entreprise de nettoyage.csv;Services aux entreprises
Deroy Stéphanie Reflexologue sur Dunkerque méthode de santé naturelle soins thérapeutiques;massage;;;4,9;oui;;https://www.google.com/maps/place/Deroy+St%C3%A9phanie+Reflexologue+sur+Dunkerque+m%C3%A9thode+de+sant%C3%A9+naturelle+soins+th%C3%A9rapeutiques/data=!4m7!3m6!1s0x47dc8c41d4d09a89:0xde8a79bdf4f54517!8m2!3d51.0330172!4d2.3924703!16s%2Fg%2F11hbgskfd5!19sChIJiZrQ1EGM3EcRF0X19L15it4?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJG13ID7K7_4hGTH055N887HdwHHlGdnZ9whLIZYrJPaUtBH48sr0YlN3T6AR_1e7laIspsKJiLi_iXOLxvGiygFAW5-tUTLNljXwlgiiZwabBP0U2WMqQM93Vw0ZQFg2Gj162=w180-h92-k-no;massage;massage.csv;Réflexologue
Descamps Dunkerque;Menuisier;;+33 3 28 60 04 38;4,7;non;http://www.descamps-bois.fr/;https://www.google.com/maps/place/Descamps+Dunkerque/data=!4m7!3m6!1s0x47dc8b427a9e686f:0x5d5a9fd9e9ed8cd8!8m2!3d51.0070838!4d2.3434758!16s%2Fg%2F1tdm7lns!19sChIJb2ieekKL3EcR2Izt6dmfWl0?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Menuisier;Menuisier.csv;Négociant en bois
Desenfans Dunkerque;Climatisation;424 Av. de la Gironde;+33 3 28 69 92 20;3,8;non;https://www.desenfans.com/;https://www.google.com/maps/place/Desenfans+Dunkerque/data=!4m7!3m6!1s0x47dc8b3edbb55e03:0x5f8da567a3145744!8m2!3d51.0047725!4d2.33905!16s%2Fg%2F1hc2f7nxx!19sChIJA1612z6L3EcRRFcUo2eljV8?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Climatisation;Climatisation.csv;Fournisseur d'équipements de chauffage
Dessailly Fils;Chauffagiste;;+33 3 28 64 55 57;3,3;oui;;https://www.google.com/maps/place/Dessailly+Fils/data=!4m7!3m6!1s0x47dc8da9120cfa21:0x66dbe97776ac1b81!8m2!3d50.5291101!4d3.1602944!16s%2Fg%2F11hf81c8kj!19sChIJIfoMEqmN3EcRgRusdnfp22Y?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Chauffagiste;Chauffagiste.csv;Chauffagiste
DESSANGE - Coiffeur Dunkerque;Coiffeur | Institutdebeaute;;;4,8;oui;;https://www.google.com/maps/place/DESSANGE+-+Coiffeur+Dunkerque/data=!4m7!3m6!1s0x47dc8c64eab47a65:0xbf42d41cc1d8eff9!8m2!3d51.0375596!4d2.3776466!16s%2Fg%2F11vbff0b52!19sChIJZXq06mSM3EcR-e_YwRzUQr8?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwermcbcvIDM82Aod2y3yfLCi3pMx0BISLKt77NHWFns3eO19LlyFb1KWOhZdAP1plvp7UYnEctsGc1jPwG-Ohjb9mC0V1uTsUkGwFANfkZJAycB4VKj279gnImtHzcClr-QJZXR3yw=w154-h92-k-no;Coiffeur | Institutdebeaute;Coiffeur.csv | Institutdebeaute.csv;Salon de coiffure | Institut de beauté
Destia Dunkerque - Aide à domicile (ADENIOR);Entreprise de nettoyage;;+33 3 28 28 18 16;4,4;non;https://www.destia.fr/agence-aide-a-domicile-destia-dunkerque;https://www.google.com/maps/place/Destia+Dunkerque+-+Aide+%C3%A0+domicile+%28ADENIOR%29/data=!4m7!3m6!1s0x47dc8c65102d2c4f:0x7ac272961e278d99!8m2!3d51.0367561!4d2.3764182!16s%2Fg%2F11btl_rypp!19sChIJTywtEGWM3EcRmY0nHpZywno?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Entreprise de nettoyage;Entreprise de nettoyage.csv;Agence de services d'aide à domicile
Destombes Georges;Garage;;+33 3 28 63 31 32;4,9;oui;;https://www.google.com/maps/place/Destombes+Georges/data=!4m7!3m6!1s0x47dc8c5b45951035:0x150e9dc88f164c46!8m2!3d51.0393591!4d2.3948056!16s%2Fg%2F1tqpyj4p!19sChIJNRCVRVuM3EcRRkwWj8idDhU?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Garage;Garage.csv;Garage automobile
Detam;Couvreur;;+33 3 21 61 76 17;4,3;non;https://www.detam.fr/;https://www.google.com/maps/place/Detam/data=!4m7!3m6!1s0x47dd1d053314dc35:0xe47b5ac804f5e564!8m2!3d50.6201687!4d2.4590336!16s%2Fg%2F11b6dfzgln!19sChIJNdwUMwUd3UcRZOX1BMhae-Q?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Couvreur;Couvreur.csv;Couvreur
DFV Toiture;Couvreur | Étancheur;;+33 6 18 86 53 16;5,0;non;https://www.dfvtoiture.com/;https://www.google.com/maps/place/DFV+Toiture/data=!4m7!3m6!1s0xa0b1e85b9737dc07:0x39abf43cb86b5539!8m2!3d50.9862033!4d2.1820252!16s%2Fg%2F11ww6bd4ky!19sChIJB9w3l1vosaAROVVruDz0qzk?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Couvreur | Étancheur;Couvreur.csv | Étancheur.csv;Couvreur
Dhondt nettoyage;Entreprise de nettoyage;;+33 7 82 67 96 55;4,7;non;https://www.facebook.com/DhondtNettoyage?locale=fr_FR;https://www.google.com/maps/place/Dhondt+nettoyage/data=!4m7!3m6!1s0xb7314190b2d18f7:0x41702145df270fd4!8m2!3d51.0148661!4d2.2873505!16s%2Fg%2F11s3ckxjrx!19sChIJ9xgtCxkUcwsR1A8n30UhcEE?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Entreprise de nettoyage;Entreprise de nettoyage.csv;Entreprise de nettoyage de vitres
DHORNE AVOCATS;avocat;;03 21 38 47 37;4,5;non;https://www.google.com/aclk?sa=L&ai=DChsSEwikh8Wj77KTAxUg7RYFHblPK8MYACICCAEQARoCdGw&ae=2&aspm=1&co=1&ase=2&gclid=CjwKCAjwg_nNBhAGEiwAiYPYA1Xvltqp0IUTXMjmtYCrZJDKqBYa6kv71o4pDsLb0r1mzg9RgeyA2BoCDzEQAvD_BwE&cid=CAASugHkaBZdFKTB9LZv3eqV8CAo5GpsZL3C5BdEg2_fta7eshmsHDvXHGvi8XdWMpEpLWlQQIz-fzWMGhX1hNiDmhR0nT5c-1aZe0fclSqzWHp8y0WbDZnCwcIWqZBKyFoffK9Kwc4p3a6lTx4va6XaAzMJsXClF6210R77KbeltBMMRuT3I4DkPM0lxOTQ10kzfINVbUurkIsk8dveDwOHqBOclBt3EUxuiUeAxa6LSD-EynuevSaHROXcMKY&cce=2&category=acrcp_v1_35&sig=AOD64_35RvxouZdv_dr0hC0pGsut9_aL6g&adurl&q&ctype=99&nis=6;https://www.google.com/maps/place/DHORNE+AVOCATS/data=!4m7!3m6!1s0x47dcf8b0c5cb6101:0x17ad039c7ceb084!8m2!3d50.749471!4d2.260282!16s%2Fg%2F1tfvs6q8!19sChIJAWHLxbD43EcRhLDOxznQegE?authuser=0&hl=fr&rclk=1;;avocat;avocat.csv;Avocat
DIAGPROG;Garage;;;5,0;non;http://diagprogsolutions.com/;https://www.google.com/maps/place/DIAGPROG/data=!4m7!3m6!1s0x47dc8b895d165215:0x6c00b39dc53e6ee0!8m2!3d51.0097599!4d2.3033838!16s%2Fg%2F11l2q8znhy!19sChIJFVIWXYmL3EcR4G4-xZ2zAGw?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Garage;Garage.csv;Atelier de réparation automobile
Dias 2 barber shop;Coiffeur;;;4,8;oui;;https://www.google.com/maps/place/Dias+2+barber+shop/data=!4m7!3m6!1s0x47dc8b809a9dfe8f:0xd420ba83860d8cce!8m2!3d51.0267971!4d2.339348!16s%2Fg%2F11txshz1wg!19sChIJj_6dmoCL3EcRzowNhoO6INQ?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweon5WfQ7B_ZlxWKJXs5n0wT4uxjYd72H42-akbldjt8unJ1_vvuE_kGB3JJxAOkdJViEKn-Ttfgz8WEKzUpUE8dSOWs1M6TGuXwsgfejoFtou3XV6ABXC6NkUnlQpJFQ0bGKGM=w80-h106-k-no;Coiffeur;Coiffeur.csv;Salon de coiffure
Dias barber;Coiffeur;;;4,3;oui;;https://www.google.com/maps/place/Dias+barber/data=!4m7!3m6!1s0x47dc8b25cd398faf:0x7b100f15d3e8b785!8m2!3d51.0287678!4d2.358044!16s%2Fg%2F11ry331qfr!19sChIJr485zSWL3EcRhbfo0xUPEHs?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweouM6yyWRlQUy5v4Y5PzOiCrSvwBlc9CHkU1tn8pblP4kep_s56U3BRGIcjaZ3omUuygcFwazfh7GoGitMCbWluyz7aGzFnuL0sO0hMBDrPB60ttVBUV-y3sm_fdgQ51gndRfkurg=w163-h92-k-no;Coiffeur;Coiffeur.csv;Salon de coiffure
Direct Artisans;Chauffagiste | Entreprise de nettoyage | Façadier | Maçon | plombier;;+33 3 28 63 35 30;4,5;non;https://direct-artisans.fr/?utm_source=gmb;https://www.google.com/maps/place/Direct+Artisans/data=!4m7!3m6!1s0x47dc8d2ad895e3c5:0xed1041a8c2183cf7!8m2!3d51.0381867!4d2.3779435!16s%2Fg%2F11h_wy1zs2!19sChIJxeOV2CqN3EcR9zwYwqhBEO0?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Chauffagiste | Entreprise de nettoyage | Façadier | Maçon | plombier;Chauffagiste.csv | Entreprise de nettoyage.csv | Façadier.csv | Maçon.csv | plombier.csv;Plombier | Serrurier
DIRTY CYCLES GARAGE;Garage;;+33 3 61 44 51 24;4,9;non;https://www.facebook.com/dirtycycles/;https://www.google.com/maps/place/DIRTY+CYCLES+GARAGE/data=!4m7!3m6!1s0x47dc8da446af335b:0x313d23f105701966!8m2!3d51.0360868!4d2.3539957!16s%2Fg%2F11grtj781j!19sChIJWzOvRqSN3EcRZhlwBfEjPTE?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Garage;Garage.csv;Magasin de motos
Divin'Ora;massage;;;5,0;oui;;https://www.google.com/maps/place/Divin%27Ora/data=!4m7!3m6!1s0x47dc8b71329d4887:0xac1f04926145413b!8m2!3d51.0007577!4d2.3364738!16s%2Fg%2F11ms3s3_z0!19sChIJh0idMnGL3EcRO0FFYZIEH6w?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkFnL-g2SiHLq5uRTjR5ZgwBzf40hHvtr1jltqoQ8q4IILPy0spSHe97RuTbS1W_BLCPbEjJuqFL_I6bW_QDDxDtIcgM_CwmqfR4np2gKrQvF_QETR-Hkx_PymtGabW77SN9N_Ykj-zJHt=w80-h142-k-no;massage;massage.csv;Esthéticien
